number,name,status
PEP 542 – Dot Notation Assignment In Function Header,PEP 542 – Dot Notation Assignment In Function Header,Rejected
PEP 540 – Add a new UTF-8 Mode,PEP 540 – Add a new UTF-8 Mode,Final
PEP 536 – Final Grammar for Literal String Interpolation,PEP 536 – Final Grammar for Literal String Interpolation,Deferred
PEP 538 – Coercing the legacy C locale to a UTF-8 based locale,PEP 538 – Coercing the legacy C locale to a UTF-8 based locale,Final
PEP 537 – Python 3.7 Release Schedule,PEP 537 – Python 3.7 Release Schedule,Final
PEP 539 – A New C-API for Thread-Local Storage in CPython,PEP 539 – A New C-API for Thread-Local Storage in CPython,Final
PEP 535 – Rich comparison chaining,PEP 535 – Rich comparison chaining,Deferred
PEP 534 – Improved Errors for Missing Standard Library Modules,PEP 534 – Improved Errors for Missing Standard Library Modules,Deferred
PEP 532 – A circuit breaking protocol and binary operators,PEP 532 – A circuit breaking protocol and binary operators,Deferred
PEP 533 – Deterministic cleanup for iterators,PEP 533 – Deterministic cleanup for iterators,Deferred
PEP 531 – Existence checking operators,PEP 531 – Existence checking operators,Withdrawn
PEP 525 – Asynchronous Generators,PEP 525 – Asynchronous Generators,Final
PEP 524 – Make os.urandom() blocking on Linux,PEP 524 – Make os.urandom() blocking on Linux,Final
PEP 523 – Adding a frame evaluation API to CPython,PEP 523 – Adding a frame evaluation API to CPython,Final
PEP 522 – Allow BlockingIOError in security sensitive APIs,PEP 522 – Allow BlockingIOError in security sensitive APIs,Rejected
PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines,PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
PEP 519 – Adding a file system path protocol,PEP 519 – Adding a file system path protocol,Final
PEP 520 – Preserving Class Attribute Definition Order,PEP 520 – Preserving Class Attribute Definition Order,Final
PEP 518 – Specifying Minimum Build System Requirements for Python Projects,PEP 518 – Specifying Minimum Build System Requirements for Python Projects,Final
PEP 517 – A build-system independent format for source trees,PEP 517 – A build-system independent format for source trees,Final
PEP 516 – Build system abstraction for pip/conda etc,PEP 516 – Build system abstraction for pip/conda etc,Rejected
PEP 515 – Underscores in Numeric Literals,PEP 515 – Underscores in Numeric Literals,Final
PEP 514 – Python registration in the Windows registry,PEP 514 – Python registration in the Windows registry,Active
PEP 512 – Migrating from hg.python.org to GitHub,PEP 512 – Migrating from hg.python.org to GitHub,Final
PEP 510 – Specialize functions with guards,PEP 510 – Specialize functions with guards,Rejected
PEP 509 – Add a private version to dict,PEP 509 – Add a private version to dict,Superseded
PEP 508 – Dependency specification for Python Software Packages,PEP 508 – Dependency specification for Python Software Packages,Final
PEP 507 – Migrate CPython to Git and GitLab,PEP 507 – Migrate CPython to Git and GitLab,Rejected
PEP 506 – Adding A Secrets Module To The Standard Library,PEP 506 – Adding A Secrets Module To The Standard Library,Final
PEP 505 – None-aware operators,PEP 505 – None-aware operators,Deferred
PEP 513 – A Platform Tag for Portable Linux Built Distributions,PEP 513 – A Platform Tag for Portable Linux Built Distributions,Superseded
PEP 504 – Using the System RNG by default,PEP 504 – Using the System RNG by default,Withdrawn
PEP 502 – String Interpolation - Extended Discussion,PEP 502 – String Interpolation - Extended Discussion,Rejected
PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations,PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations,Rejected
PEP 499 – ,PEP 499 –,Deferred
PEP 498 – Literal String Interpolation,PEP 498 – Literal String Interpolation,Final
PEP 497 – A standard mechanism for backward compatibility,PEP 497 – A standard mechanism for backward compatibility,Rejected
PEP 503 – Simple Repository API,PEP 503 – Simple Repository API,Final
PEP 494 – Python 3.6 Release Schedule,PEP 494 – Python 3.6 Release Schedule,Final
PEP 501 – General purpose string interpolation,PEP 501 – General purpose string interpolation,Deferred
PEP 487 – Simpler customisation of class creation,PEP 487 – Simpler customisation of class creation,Final
PEP 486 – Make the Python Launcher aware of virtual environments,PEP 486 – Make the Python Launcher aware of virtual environments,Final
PEP 493 – HTTPS verification migration tools for Python 2.7,PEP 493 – HTTPS verification migration tools for Python 2.7,Final
PEP 491 – The Wheel Binary Package Format 1.9,PEP 491 – The Wheel Binary Package Format 1.9,Deferred
PEP 492 – Coroutines with async and await syntax,PEP 492 – Coroutines with async and await syntax,Final
PEP 488 – Elimination of PYO files,PEP 488 – Elimination of PYO files,Final
PEP 490 – Chain exceptions at C level,PEP 490 – Chain exceptions at C level,Rejected
PEP 489 – Multi-phase extension module initialization,PEP 489 – Multi-phase extension module initialization,Final
PEP 482 – Literature Overview for Type Hints,PEP 482 – Literature Overview for Type Hints,Final
PEP 485 – A Function for testing approximate equality,PEP 485 – A Function for testing approximate equality,Final
"PEP 481 – Migrate CPython to Git, Github, and Phabricator","PEP 481 – Migrate CPython to Git, Github, and Phabricator",Withdrawn
PEP 483 – The Theory of Type Hints,PEP 483 – The Theory of Type Hints,Final
PEP 484 – Type Hints,PEP 484 – Type Hints,Final
PEP 475 – Retry system calls failing with EINTR,PEP 475 – Retry system calls failing with EINTR,Final
PEP 474 – Creating forge.python.org,PEP 474 – Creating forge.python.org,Withdrawn
PEP 473 – Adding structured data to built-in exceptions,PEP 473 – Adding structured data to built-in exceptions,Rejected
PEP 472 – Support for indexing with keyword arguments,PEP 472 – Support for indexing with keyword arguments,Rejected
PEP 471 – os.scandir() function – a better and faster directory iterator,PEP 471 – os.scandir() function – a better and faster directory iterator,Final
PEP 470 – Removing External Hosting Support on PyPI,PEP 470 – Removing External Hosting Support on PyPI,Final
PEP 469 – Migration of dict iteration code to Python 3,PEP 469 – Migration of dict iteration code to Python 3,Withdrawn
PEP 467 – Minor API improvements for binary sequences,PEP 467 – Minor API improvements for binary sequences,Draft
PEP 468 – Preserving the order of **kwargs in a function.,PEP 468 – Preserving the order of **kwargs in a function.,Final
PEP 466 – Network Security Enhancements for Python 2.7.x,PEP 466 – Network Security Enhancements for Python 2.7.x,Final
PEP 465 – A dedicated infix operator for matrix multiplication,PEP 465 – A dedicated infix operator for matrix multiplication,Final
PEP 464 – Removal of the PyPI Mirror Authenticity API,PEP 464 – Removal of the PyPI Mirror Authenticity API,Final
PEP 463 – Exception-catching expressions,PEP 463 – Exception-catching expressions,Rejected
PEP 462 – Core development workflow automation for CPython,PEP 462 – Core development workflow automation for CPython,Withdrawn
PEP 461 – Adding % formatting to bytes and bytearray,PEP 461 – Adding % formatting to bytes and bytearray,Final
PEP 456 – Secure and interchangeable hash algorithm,PEP 456 – Secure and interchangeable hash algorithm,Final
PEP 460 – Add binary interpolation and formatting,PEP 460 – Add binary interpolation and formatting,Withdrawn
PEP 455 – Adding a key-transforming dictionary to collections,PEP 455 – Adding a key-transforming dictionary to collections,Rejected
PEP 454 – Add a new tracemalloc module to trace Python memory allocations,PEP 454 – Add a new tracemalloc module to trace Python memory allocations,Final
PEP 459 – Standard Metadata Extensions for Python Software Packages,PEP 459 – Standard Metadata Extensions for Python Software Packages,Withdrawn
PEP 451 – A ModuleSpec Type for the Import System,PEP 451 – A ModuleSpec Type for the Import System,Final
PEP 452 – API for Cryptographic Hash Functions v2.0,PEP 452 – API for Cryptographic Hash Functions v2.0,Final
PEP 453 – Explicit bootstrapping of pip in Python installations,PEP 453 – Explicit bootstrapping of pip in Python installations,Final
PEP 450 – Adding A Statistics Module To The Standard Library,PEP 450 – Adding A Statistics Module To The Standard Library,Final
PEP 449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme,PEP 449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
PEP 448 – Additional Unpacking Generalizations,PEP 448 – Additional Unpacking Generalizations,Final
PEP 447 – Add __getdescriptor__ method to metaclass,PEP 447 – Add __getdescriptor__ method to metaclass,Deferred
PEP 446 – Make newly created file descriptors non-inheritable,PEP 446 – Make newly created file descriptors non-inheritable,Final
PEP 445 – Add new APIs to customize Python memory allocators,PEP 445 – Add new APIs to customize Python memory allocators,Final
PEP 444 – Python Web3 Interface,PEP 444 – Python Web3 Interface,Deferred
PEP 443 – Single-dispatch generic functions,PEP 443 – Single-dispatch generic functions,Final
PEP 439 – Inclusion of implicit pip bootstrap in Python installation,PEP 439 – Inclusion of implicit pip bootstrap in Python installation,Rejected
PEP 438 – Transitioning to release-file hosting on PyPI,PEP 438 – Transitioning to release-file hosting on PyPI,Superseded
"PEP 437 – A DSL for specifying signatures, annotations and argument converters","PEP 437 – A DSL for specifying signatures, annotations and argument converters",Rejected
PEP 436 – The Argument Clinic DSL,PEP 436 – The Argument Clinic DSL,Final
PEP 441 – Improving Python ZIP Application Support,PEP 441 – Improving Python ZIP Application Support,Final
PEP 442 – Safe object finalization,PEP 442 – Safe object finalization,Final
PEP 440 – Version Identification and Dependency Specification,PEP 440 – Version Identification and Dependency Specification,Final
PEP 434 – IDLE Enhancement Exception for All Branches,PEP 434 – IDLE Enhancement Exception for All Branches,Active
PEP 430 – Migrating to Python 3 as the default online documentation,PEP 430 – Migrating to Python 3 as the default online documentation,Final
PEP 431 – Time zone support improvements,PEP 431 – Time zone support improvements,Superseded
PEP 433 – Easier suppression of file descriptor inheritance,PEP 433 – Easier suppression of file descriptor inheritance,Superseded
PEP 432 – Restructuring the CPython startup sequence,PEP 432 – Restructuring the CPython startup sequence,Withdrawn
PEP 428 – The pathlib module – object-oriented filesystem paths,PEP 428 – The pathlib module – object-oriented filesystem paths,Final
PEP 427 – The Wheel Binary Package Format 1.0,PEP 427 – The Wheel Binary Package Format 1.0,Final
PEP 426 – Metadata for Python Software Packages 2.0,PEP 426 – Metadata for Python Software Packages 2.0,Withdrawn
PEP 429 – Python 3.4 Release Schedule,PEP 429 – Python 3.4 Release Schedule,Final
PEP 422 – Simpler customisation of class creation,PEP 422 – Simpler customisation of class creation,Withdrawn
PEP 423 – Naming conventions and recipes related to packaging,PEP 423 – Naming conventions and recipes related to packaging,Deferred
PEP 425 – Compatibility Tags for Built Distributions,PEP 425 – Compatibility Tags for Built Distributions,Final
PEP 424 – A method for exposing a length hint,PEP 424 – A method for exposing a length hint,Final
PEP 421 – Adding sys.implementation,PEP 421 – Adding sys.implementation,Final
PEP 420 – Implicit Namespace Packages,PEP 420 – Implicit Namespace Packages,Final
PEP 419 – Protecting cleanup statements from interruptions,PEP 419 – Protecting cleanup statements from interruptions,Deferred
"PEP 418 – Add monotonic time, performance counter, and process time functions","PEP 418 – Add monotonic time, performance counter, and process time functions",Final
PEP 417 – Including mock in the Standard Library,PEP 417 – Including mock in the Standard Library,Final
PEP 416 – Add a frozendict builtin type,PEP 416 – Add a frozendict builtin type,Rejected
PEP 415 – Implement context suppression with exception attributes,PEP 415 – Implement context suppression with exception attributes,Final
PEP 414 – Explicit Unicode Literal for Python 3.3,PEP 414 – Explicit Unicode Literal for Python 3.3,Final
PEP 413 – Faster evolution of the Python Standard Library,PEP 413 – Faster evolution of the Python Standard Library,Withdrawn
PEP 412 – Key-Sharing Dictionary,PEP 412 – Key-Sharing Dictionary,Final
PEP 411 – Provisional packages in the Python standard library,PEP 411 – Provisional packages in the Python standard library,Superseded
PEP 410 – Use decimal.Decimal type for timestamps,PEP 410 – Use decimal.Decimal type for timestamps,Rejected
PEP 406 – Improved Encapsulation of Import State,PEP 406 – Improved Encapsulation of Import State,Withdrawn
PEP 409 – Suppressing exception context,PEP 409 – Suppressing exception context,Final
PEP 407 – New release cycle and introducing long-term support versions,PEP 407 – New release cycle and introducing long-term support versions,Deferred
PEP 408 – Standard library __preview__ package,PEP 408 – Standard library __preview__ package,Rejected
PEP 405 – Python Virtual Environments,PEP 405 – Python Virtual Environments,Final
PEP 403 – General purpose decorator clause (aka “@in” clause),PEP 403 – General purpose decorator clause (aka “@in” clause),Deferred
PEP 402 – Simplified Package Layout and Partitioning,PEP 402 – Simplified Package Layout and Partitioning,Rejected
PEP 404 – Python 2.8 Un-release Schedule,PEP 404 – Python 2.8 Un-release Schedule,Final
PEP 401 – BDFL Retirement,PEP 401 – BDFL Retirement,April Fool!
PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter,PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
PEP 398 – Python 3.3 Release Schedule,PEP 398 – Python 3.3 Release Schedule,Final
PEP 399 – Pure Python/C Accelerator Module Compatibility Requirements,PEP 399 – Pure Python/C Accelerator Module Compatibility Requirements,Final
PEP 397 – Python launcher for Windows,PEP 397 – Python launcher for Windows,Final
PEP 395 – Qualified Names for Modules,PEP 395 – Qualified Names for Modules,Withdrawn
PEP 394 – The “python” Command on Unix-Like Systems,PEP 394 – The “python” Command on Unix-Like Systems,Active
PEP 396 – Module Version Numbers,PEP 396 – Module Version Numbers,Rejected
PEP 393 – Flexible String Representation,PEP 393 – Flexible String Representation,Final
PEP 392 – Python 3.2 Release Schedule,PEP 392 – Python 3.2 Release Schedule,Final
PEP 390 – Static metadata for Distutils,PEP 390 – Static metadata for Distutils,Rejected
PEP 391 – Dictionary-Based Configuration For Logging,PEP 391 – Dictionary-Based Configuration For Logging,Final
PEP 389 – argparse - New Command Line Parsing Module,PEP 389 – argparse - New Command Line Parsing Module,Final
PEP 387 – Backwards Compatibility Policy,PEP 387 – Backwards Compatibility Policy,Active
PEP 386 – Changing the version comparison module in Distutils,PEP 386 – Changing the version comparison module in Distutils,Superseded
PEP 383 – Non-decodable Bytes in System Character Interfaces,PEP 383 – Non-decodable Bytes in System Character Interfaces,Final
PEP 384 – Defining a Stable ABI,PEP 384 – Defining a Stable ABI,Final
PEP 385 – Migrating from Subversion to Mercurial,PEP 385 – Migrating from Subversion to Mercurial,Final
PEP 382 – Namespace Packages,PEP 382 – Namespace Packages,Rejected
PEP 381 – Mirroring infrastructure for PyPI,PEP 381 – Mirroring infrastructure for PyPI,Withdrawn
PEP 379 – Adding an Assignment Expression,PEP 379 – Adding an Assignment Expression,Withdrawn
PEP 380 – Syntax for Delegating to a Subgenerator,PEP 380 – Syntax for Delegating to a Subgenerator,Final
PEP 378 – Format Specifier for Thousands Separator,PEP 378 – Format Specifier for Thousands Separator,Final
PEP 376 – Database of Installed Python Distributions,PEP 376 – Database of Installed Python Distributions,Final
PEP 377 – Allow __enter__() methods to skip the statement body,PEP 377 – Allow __enter__() methods to skip the statement body,Rejected
PEP 375 – Python 3.1 Release Schedule,PEP 375 – Python 3.1 Release Schedule,Final
PEP 373 – Python 2.7 Release Schedule,PEP 373 – Python 2.7 Release Schedule,Final
PEP 374 – Choosing a distributed VCS for the Python project,PEP 374 – Choosing a distributed VCS for the Python project,Final
PEP 372 – Adding an ordered dictionary to collections,PEP 372 – Adding an ordered dictionary to collections,Final
PEP 371 – Addition of the multiprocessing package to the standard library,PEP 371 – Addition of the multiprocessing package to the standard library,Final
PEP 369 – Post import hooks,PEP 369 – Post import hooks,Withdrawn
PEP 368 – Standard image protocol and class,PEP 368 – Standard image protocol and class,Deferred
PEP 367 – New Super,PEP 367 – New Super,Superseded
PEP 366 – Main module explicit relative imports,PEP 366 – Main module explicit relative imports,Final
PEP 365 – Adding the pkg_resources module,PEP 365 – Adding the pkg_resources module,Rejected
PEP 370 – Per user site-packages directory,PEP 370 – Per user site-packages directory,Final
PEP 361 – Python 2.6 and 3.0 Release Schedule,PEP 361 – Python 2.6 and 3.0 Release Schedule,Final
PEP 360 – Externally Maintained Packages,PEP 360 – Externally Maintained Packages,Final
PEP 359 – The “make” Statement,PEP 359 – The “make” Statement,Withdrawn
PEP 358 – The “bytes” Object,PEP 358 – The “bytes” Object,Final
PEP 357 – Allowing Any Object to be Used for Slicing,PEP 357 – Allowing Any Object to be Used for Slicing,Final
PEP 356 – Python 2.5 Release Schedule,PEP 356 – Python 2.5 Release Schedule,Final
PEP 364 – Transitioning to the Py3K Standard Library,PEP 364 – Transitioning to the Py3K Standard Library,Withdrawn
PEP 363 – Syntax For Dynamic Attribute Access,PEP 363 – Syntax For Dynamic Attribute Access,Rejected
PEP 355 – Path - Object oriented filesystem paths,PEP 355 – Path - Object oriented filesystem paths,Rejected
PEP 354 – Enumerations in Python,PEP 354 – Enumerations in Python,Superseded
PEP 353 – Using ssize_t as the index type,PEP 353 – Using ssize_t as the index type,Final
PEP 352 – Required Superclass for Exceptions,PEP 352 – Required Superclass for Exceptions,Final
PEP 351 – The freeze protocol,PEP 351 – The freeze protocol,Rejected
PEP 350 – Codetags,PEP 350 – Codetags,Rejected
PEP 349 – Allow str() to return unicode strings,PEP 349 – Allow str() to return unicode strings,Rejected
PEP 348 – Exception Reorganization for Python 3.0,PEP 348 – Exception Reorganization for Python 3.0,Rejected
PEP 347 – Migrating the Python CVS to Subversion,PEP 347 – Migrating the Python CVS to Subversion,Final
PEP 346 – User Defined (”,PEP 346 – User Defined (”,Withdrawn
PEP 345 – Metadata for Python Software Packages 1.2,PEP 345 – Metadata for Python Software Packages 1.2,Superseded
PEP 344 – Exception Chaining and Embedded Tracebacks,PEP 344 – Exception Chaining and Embedded Tracebacks,Superseded
PEP 343 – The “with” Statement,PEP 343 – The “with” Statement,Final
PEP 342 – Coroutines via Enhanced Generators,PEP 342 – Coroutines via Enhanced Generators,Final
PEP 341 – Unifying try-except and try-finally,PEP 341 – Unifying try-except and try-finally,Final
PEP 340 – Anonymous Block Statements,PEP 340 – Anonymous Block Statements,Rejected
PEP 338 – Executing modules as scripts,PEP 338 – Executing modules as scripts,Final
PEP 336 – Make None Callable,PEP 336 – Make None Callable,Rejected
PEP 337 – Logging Usage in the Standard Library,PEP 337 – Logging Usage in the Standard Library,Deferred
PEP 333 – Python Web Server Gateway Interface v1.0,PEP 333 – Python Web Server Gateway Interface v1.0,Final
PEP 335 – Overloadable Boolean Operators,PEP 335 – Overloadable Boolean Operators,Rejected
PEP 339 – Design of the CPython Compiler,PEP 339 – Design of the CPython Compiler,Withdrawn
PEP 332 – Byte vectors and String/Unicode Unification,PEP 332 – Byte vectors and String/Unicode Unification,Rejected
PEP 334 – Simple Coroutines via SuspendIteration,PEP 334 – Simple Coroutines via SuspendIteration,Withdrawn
PEP 331 – Locale-Independent Float/String Conversions,PEP 331 – Locale-Independent Float/String Conversions,Final
PEP 329 – Treating Builtins as Constants in the Standard Library,PEP 329 – Treating Builtins as Constants in the Standard Library,Rejected
PEP 330 – Python Bytecode Verification,PEP 330 – Python Bytecode Verification,Rejected
PEP 328 – Imports: Multi-Line and Absolute/Relative,PEP 328 – Imports: Multi-Line and Absolute/Relative,Final
PEP 324 – subprocess - New process module,PEP 324 – subprocess - New process module,Final
PEP 327 – Decimal Data Type,PEP 327 – Decimal Data Type,Final
PEP 325 – Resource-Release Support for Generators,PEP 325 – Resource-Release Support for Generators,Rejected
PEP 326 – A Case for Top and Bottom Values,PEP 326 – A Case for Top and Bottom Values,Rejected
PEP 321 – Date/Time Parsing and Formatting,PEP 321 – Date/Time Parsing and Formatting,Withdrawn
PEP 322 – Reverse Iteration,PEP 322 – Reverse Iteration,Final
PEP 323 – Copyable Iterators,PEP 323 – Copyable Iterators,Deferred
PEP 316 – Programming by Contract for Python,PEP 316 – Programming by Contract for Python,Deferred
PEP 320 – Python 2.4 Release Schedule,PEP 320 – Python 2.4 Release Schedule,Final
PEP 319 – Python Synchronize/Asynchronize Block,PEP 319 – Python Synchronize/Asynchronize Block,Rejected
PEP 318 – Decorators for Functions and Methods,PEP 318 – Decorators for Functions and Methods,Final
PEP 317 – Eliminate Implicit Exception Instantiation,PEP 317 – Eliminate Implicit Exception Instantiation,Rejected
PEP 312 – Simple Implicit Lambda,PEP 312 – Simple Implicit Lambda,Deferred
PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions,PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions,Final
PEP 310 – Reliable Acquisition/Release Pairs,PEP 310 – Reliable Acquisition/Release Pairs,Rejected
PEP 309 – Partial Function Application,PEP 309 – Partial Function Application,Final
PEP 308 – Conditional Expressions,PEP 308 – Conditional Expressions,Final
PEP 315 – Enhanced While Loop,PEP 315 – Enhanced While Loop,Rejected
PEP 314 – Metadata for Python Software Packages 1.1,PEP 314 – Metadata for Python Software Packages 1.1,Superseded
PEP 313 – Adding Roman Numeral Literals to Python,PEP 313 – Adding Roman Numeral Literals to Python,Rejected
PEP 307 – Extensions to the pickle protocol,PEP 307 – Extensions to the pickle protocol,Final
PEP 306 – How to Change Python’s Grammar,PEP 306 – How to Change Python’s Grammar,Withdrawn
PEP 305 – CSV File API,PEP 305 – CSV File API,Final
PEP 304 – Controlling Generation of Bytecode Files,PEP 304 – Controlling Generation of Bytecode Files,Withdrawn
PEP 303 – Extend divmod() for Multiple Divisors,PEP 303 – Extend divmod() for Multiple Divisors,Rejected
PEP 302 – New Import Hooks,PEP 302 – New Import Hooks,Final
PEP 301 – Package Index and Metadata for Distutils,PEP 301 – Package Index and Metadata for Distutils,Final
PEP 299 – Special __main__() function in modules,PEP 299 – Special __main__() function in modules,Rejected
PEP 298 – The Locked Buffer Interface,PEP 298 – The Locked Buffer Interface,Withdrawn
PEP 297 – Support for System Upgrades,PEP 297 – Support for System Upgrades,Rejected
PEP 296 – Adding a bytes Object Type,PEP 296 – Adding a bytes Object Type,Withdrawn
PEP 295 – Interpretation of multiline string constants,PEP 295 – Interpretation of multiline string constants,Rejected
PEP 294 – Type Names in the types Module,PEP 294 – Type Names in the types Module,Rejected
PEP 293 – Codec Error Handling Callbacks,PEP 293 – Codec Error Handling Callbacks,Final
PEP 292 – Simpler String Substitutions,PEP 292 – Simpler String Substitutions,Final
PEP 291 – Backward Compatibility for the Python 2 Standard Library,PEP 291 – Backward Compatibility for the Python 2 Standard Library,Final
PEP 290 – Code Migration and Modernization,PEP 290 – Code Migration and Modernization,Active
PEP 289 – Generator Expressions,PEP 289 – Generator Expressions,Final
PEP 288 – Generators Attributes and Exceptions,PEP 288 – Generators Attributes and Exceptions,Withdrawn
PEP 287 – reStructuredText Docstring Format,PEP 287 – reStructuredText Docstring Format,Active
PEP 286 – Enhanced Argument Tuples,PEP 286 – Enhanced Argument Tuples,Deferred
PEP 285 – Adding a bool type,PEP 285 – Adding a bool type,Final
PEP 284 – Integer for-loops,PEP 284 – Integer for-loops,Rejected
PEP 283 – Python 2.3 Release Schedule,PEP 283 – Python 2.3 Release Schedule,Final
PEP 275 – Switching on Multiple Values,PEP 275 – Switching on Multiple Values,Rejected
PEP 276 – Simple Iterator for ints,PEP 276 – Simple Iterator for ints,Rejected
PEP 279 – The enumerate() built-in function,PEP 279 – The enumerate() built-in function,Final
PEP 277 – Unicode file name support for Windows NT,PEP 277 – Unicode file name support for Windows NT,Final
PEP 280 – Optimizing access to globals,PEP 280 – Optimizing access to globals,Deferred
PEP 281 – Loop Counter Iteration with range and xrange,PEP 281 – Loop Counter Iteration with range and xrange,Rejected
PEP 278 – Universal Newline Support,PEP 278 – Universal Newline Support,Final
PEP 282 – A Logging System,PEP 282 – A Logging System,Final
PEP 274 – Dict Comprehensions,PEP 274 – Dict Comprehensions,Final
PEP 272 – API for Block Encryption Algorithms v1.0,PEP 272 – API for Block Encryption Algorithms v1.0,Final
PEP 271 – Prefixing sys.path by command line option,PEP 271 – Prefixing sys.path by command line option,Rejected
PEP 273 – Import Modules from Zip Archives,PEP 273 – Import Modules from Zip Archives,Final
PEP 269 – Pgen Module for Python,PEP 269 – Pgen Module for Python,Deferred
PEP 268 – Extended HTTP functionality and WebDAV,PEP 268 – Extended HTTP functionality and WebDAV,Rejected
PEP 267 – Optimized Access to Module Namespaces,PEP 267 – Optimized Access to Module Namespaces,Deferred
PEP 270 – uniq method for list objects,PEP 270 – uniq method for list objects,Rejected
PEP 265 – Sorting Dictionaries by Value,PEP 265 – Sorting Dictionaries by Value,Rejected
PEP 263 – Defining Python Source Code Encodings,PEP 263 – Defining Python Source Code Encodings,Final
PEP 264 – Future statements in simulated shells,PEP 264 – Future statements in simulated shells,Final
PEP 262 – A Database of Installed Python Packages,PEP 262 – A Database of Installed Python Packages,Rejected
PEP 261 – Support for “wide” Unicode characters,PEP 261 – Support for “wide” Unicode characters,Final
PEP 260 – Simplify xrange(),PEP 260 – Simplify xrange(),Final
PEP 259 – Omit printing newline after newline,PEP 259 – Omit printing newline after newline,Rejected
PEP 258 – Docutils Design Specification,PEP 258 – Docutils Design Specification,Rejected
PEP 255 – Simple Generators,PEP 255 – Simple Generators,Final
PEP 254 – Making Classes Look More Like Types,PEP 254 – Making Classes Look More Like Types,Rejected
PEP 257 – Docstring Conventions,PEP 257 – Docstring Conventions,Active
PEP 256 – Docstring Processing System Framework,PEP 256 – Docstring Processing System Framework,Rejected
PEP 253 – Subtyping Built-in Types,PEP 253 – Subtyping Built-in Types,Final
PEP 252 – Making Types Look More Like Classes,PEP 252 – Making Types Look More Like Classes,Final
PEP 251 – Python 2.2 Release Schedule,PEP 251 – Python 2.2 Release Schedule,Final
PEP 250 – Using site-packages on Windows,PEP 250 – Using site-packages on Windows,Final
PEP 246 – Object Adaptation,PEP 246 – Object Adaptation,Rejected
PEP 247 – API for Cryptographic Hash Functions,PEP 247 – API for Cryptographic Hash Functions,Final
PEP 248 – Python Database API Specification v1.0,PEP 248 – Python Database API Specification v1.0,Final
PEP 249 – Python Database API Specification v2.0,PEP 249 – Python Database API Specification v2.0,Final
PEP 243 – Module Repository Upload Mechanism,PEP 243 – Module Repository Upload Mechanism,Withdrawn
PEP 242 – Numeric Kinds,PEP 242 – Numeric Kinds,Rejected
PEP 245 – Python Interface Syntax,PEP 245 – Python Interface Syntax,Rejected
PEP 244 – The ,PEP 244 – The,Rejected
PEP 241 – Metadata for Python Software Packages,PEP 241 – Metadata for Python Software Packages,Superseded
PEP 240 – Adding a Rational Literal to Python,PEP 240 – Adding a Rational Literal to Python,Rejected
PEP 239 – Adding a Rational Type to Python,PEP 239 – Adding a Rational Type to Python,Rejected
PEP 238 – Changing the Division Operator,PEP 238 – Changing the Division Operator,Final
PEP 237 – Unifying Long Integers and Integers,PEP 237 – Unifying Long Integers and Integers,Final
PEP 234 – Iterators,PEP 234 – Iterators,Final
PEP 236 – Back to the __future__,PEP 236 – Back to the __future__,Final
PEP 235 – Import on Case-Insensitive Platforms,PEP 235 – Import on Case-Insensitive Platforms,Final
PEP 229 – Using Distutils to Build Python,PEP 229 – Using Distutils to Build Python,Final
PEP 228 – Reworking Python’s Numeric Model,PEP 228 – Reworking Python’s Numeric Model,Withdrawn
PEP 227 – Statically Nested Scopes,PEP 227 – Statically Nested Scopes,Final
PEP 226 – Python 2.1 Release Schedule,PEP 226 – Python 2.1 Release Schedule,Final
PEP 232 – Function Attributes,PEP 232 – Function Attributes,Final
PEP 231 – __findattr__(),PEP 231 – __findattr__(),Rejected
PEP 233 – Python Online Help,PEP 233 – Python Online Help,Deferred
PEP 230 – Warning Framework,PEP 230 – Warning Framework,Final
PEP 222 – Web Library Enhancements,PEP 222 – Web Library Enhancements,Deferred
PEP 221 – Import As,PEP 221 – Import As,Final
PEP 219 – Stackless Python,PEP 219 – Stackless Python,Deferred
PEP 218 – Adding a Built-In Set Object Type,PEP 218 – Adding a Built-In Set Object Type,Final
PEP 223 – Change the Meaning of ,PEP 223 – Change the Meaning of,Final
PEP 225 – Elementwise/Objectwise Operators,PEP 225 – Elementwise/Objectwise Operators,Rejected
PEP 224 – Attribute Docstrings,PEP 224 – Attribute Docstrings,Rejected
"PEP 220 – Coroutines, Generators, Continuations","PEP 220 – Coroutines, Generators, Continuations",Rejected
PEP 217 – Display Hook for Interactive Use,PEP 217 – Display Hook for Interactive Use,Final
PEP 216 – Docstring Format,PEP 216 – Docstring Format,Rejected
PEP 215 – String Interpolation,PEP 215 – String Interpolation,Superseded
PEP 213 – Attribute Access Handlers,PEP 213 – Attribute Access Handlers,Deferred
PEP 214 – Extended Print Statement,PEP 214 – Extended Print Statement,Final
PEP 211 – Adding A New Outer Product Operator,PEP 211 – Adding A New Outer Product Operator,Rejected
